SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,101 Cameron Mews,Alexandria,VA,22314,1300000,4,3.5,CAMERON MEWS,2450,1772,1965,2,531,83,Active,August-2-2020 01:00 PM,August-2-2020 03:00 PM,http://www.redfin.com/VA/Alexandria/101-Cameron-Mews-22314/home/11842869,BRIGHT MLS,VAAX248966,N,Y,38.805794,-77.040055
MLS Listing,,Condo/Co-op,5 Russell Rd Unit E,Alexandria,VA,22301,349900,2,1,STATION PLACE,1000,,1937,3,350,299,Active,August-2-2020 01:00 PM,August-2-2020 03:00 PM,http://www.redfin.com/VA/Alexandria/5-Russell-Rd-22301/unit-E/home/11868071,BRIGHT MLS,VAAX248982,N,Y,38.8075983,-77.0624428
MLS Listing,,Condo/Co-op,2451 Midtown Ave #217,Alexandria,VA,22303,239900,0,1,MIDTOWN ALEXANDRIA STATI,571,,2007,3,420,281,Active,,,http://www.redfin.com/VA/Alexandria/2451-Midtown-Ave-22303/unit-217/home/22960737,BRIGHT MLS,VAFX1144802,N,Y,38.7966455,-77.0743261
MLS Listing,,Condo/Co-op,49 Skyhill Rd #102,Alexandria,VA,22314,339900,3,1.5,SEMINARY WALK,1127,,1959,4,302,390,Active,,,http://www.redfin.com/VA/Alexandria/49-Skyhill-Rd-22314/unit-102/home/11867558,BRIGHT MLS,VAAX248882,N,Y,38.8078264,-77.0767982
MLS Listing,,Townhouse,402 Stanton Pl,Alexandria,VA,22304,635000,3,3,EDSALL RD T/H,2696,1632,1999,4,236,139,Active,,,http://www.redfin.com/VA/Alexandria/402-Stanton-Pl-22304/home/11873543,BRIGHT MLS,VAAX248862,N,Y,38.809257,-77.135867
MLS Listing,,Townhouse,5403 Barrister Pl,Alexandria,VA,22304,574900,3,2.5,HOLLAND TOWNE,1796,1360,1985,9,320,101,Active,August-2-2020 01:00 PM,August-2-2020 03:00 PM,http://www.redfin.com/VA/Alexandria/5403-Barrister-Pl-22304/home/11867510,BRIGHT MLS,VAAX248768,N,Y,38.8244245,-77.1219883
MLS Listing,,Townhouse,319 Cloudes Mill Dr,Alexandria,VA,22304,535000,3,3.5,MILL STREAM,2145,,1986,9,249,285,Active,,,http://www.redfin.com/VA/Alexandria/319-Cloude-s-Mill-Dr-22304/home/11869092,BRIGHT MLS,VAAX248324,N,Y,38.816021,-77.122902
MLS Listing,,Condo/Co-op,6301 Edsall Rd #518,Alexandria,VA,22312,289900,1,1,ISABELLA AT MONTICELLO M,762,,2012,10,380,417,Active,August-2-2020 01:00 PM,August-2-2020 03:00 PM,http://www.redfin.com/VA/Alexandria/6301-Edsall-Rd-22312/unit-518/home/50277787,BRIGHT MLS,VAFX1141988,N,Y,38.8005144,-77.144193
MLS Listing,,Condo/Co-op,906 S Washington St #205,Alexandria,VA,22314,280000,1,1,BEARINGS SOUTH,633,,1941,11,442,440,Active,,,http://www.redfin.com/VA/Alexandria/906-S-Washington-St-22314/unit-205/home/11878816,BRIGHT MLS,VAAX248558,N,Y,38.7954795,-77.0485341
MLS Listing,,Condo/Co-op,5300 Holmes Run Pkwy #615,Alexandria,VA,22304,349900,3,2,GREENHOUSE,1507,,1975,17,232,888,Active,,,http://www.redfin.com/VA/Alexandria/5300-Holmes-Run-Pkwy-22304/unit-615/home/11855664,BRIGHT MLS,VAAX248436,N,Y,38.8148621,-77.1222753
MLS Listing,,Condo/Co-op,3309 Wyndham Cir #3171,Alexandria,VA,22302,375000,2,2,POINTE AT PARK C,1098,,1990,23,342,459,Active,,,http://www.redfin.com/VA/Alexandria/3309-Wyndham-Cir-22302/unit-3171/home/11877077,BRIGHT MLS,VAAX248286,N,Y,38.8357133,-77.1020029
MLS Listing,,Condo/Co-op,5904 Mount Eagle Dr #305,Alexandria,VA,22303,423000,2,2,MONTEBELLO CONDO,1305,,1986,23,324,842,Active,,,http://www.redfin.com/VA/Alexandria/5904-Mt-Eagle-Dr-22303/unit-305/home/9763568,BRIGHT MLS,VAFX1139784,N,Y,38.7884021,-77.0688935
MLS Listing,,Condo/Co-op,6934-F Ellingham Cir #118,Alexandria,VA,22315,369900,2,2.5,ETON SQUARE CONDO,1415,,1991,24,261,546,Active,,,http://www.redfin.com/VA/Alexandria/6934-Ellingham-Cir-22315/unit-F/home/22011229,BRIGHT MLS,VAFX1139810,N,Y,38.767098,-77.141719
MLS Listing,,Condo/Co-op,906 S Washington St #310,Alexandria,VA,22314,275000,1,1,BEARINGS SOUTH,632,,1941,24,435,419,Active,August-2-2020 01:00 PM,August-2-2020 03:00 PM,http://www.redfin.com/VA/Alexandria/906-S-Washington-St-22314/unit-310/home/11878833,BRIGHT MLS,VAAX247998,N,Y,38.7954795,-77.0485341
MLS Listing,,Condo/Co-op,400 Cameron Station Blvd Unit G14,Alexandria,VA,22304,455000,2,2,CAMERON STATION,1096,,2007,31,415,521,Active,August-2-2020 01:00 PM,August-2-2020 03:00 PM,http://www.redfin.com/VA/Alexandria/400-Cameron-Station-Blvd-22304/unit-G14/home/17061536,BRIGHT MLS,VAAX247910,N,Y,38.8058373,-77.1252488
MLS Listing,,Townhouse,7834 Locust Leaf Ln,Alexandria,VA,22315,565000,3,3.5,HAWTHORNE SEC 2,2200,1500,2003,31,257,93,Active,,,http://www.redfin.com/VA/Alexandria/7834-Locust-Leaf-Ln-22315/home/9842137,BRIGHT MLS,VAFX1137548,N,Y,38.745408,-77.176366
Redfin Data,,Condo/Co-op,181 E Reed Ave #402,Alexandria,VA,22305,499000,2,2,Alexandria,1112,,2003,1,449,577,Pre On-Market,,,http://www.redfin.com/VA/Alexandria/181-E-Reed-Ave-22305/unit-402/home/11877938,Coming Soon,60432,N,Y,38.8368059,-77.0523442
Redfin Data,,Condo/Co-op,3428 Gunston Rd,Alexandria,VA,22302,415000,2,1,Alexandria,930,,1941,1,446,476,Pre On-Market,,,http://www.redfin.com/VA/Alexandria/3428-Gunston-Rd-22302/home/22667275,Coming Soon,60387,N,Y,38.8367174,-77.0778635
Redfin Data,,Condo/Co-op,6301 Edsall Rd #516,Alexandria,VA,22312,299900,1,1,Alexandria,867,,2012,2,346,,Pre On-Market,,,http://www.redfin.com/VA/Alexandria/6301-Edsall-Rd-22312/unit-516/home/45369610,Coming Soon,60323,N,Y,38.8005144,-77.144193
MLS Listing,,Townhouse,808 Duke St,Alexandria,VA,22314,1695000,3,2.5,OLD TOWN,2304,2300,1830,1,736,,Active,,,http://www.redfin.com/VA/Alexandria/808-Duke-St-22314/home/16848730,BRIGHT MLS,VAAX249194,N,Y,38.8028628,-77.049048
MLS Listing,,Townhouse,3926 Mariposa Pl Unit B,Alexandria,VA,22309,239500,3,2.5,SEQUOYAH CONDO,1300,,1974,1,184,522,Active,,,http://www.redfin.com/VA/Alexandria/3926-Mariposa-Pl-22309/unit-B/home/172646738,BRIGHT MLS,VAFX1144544,N,Y,38.743153,-77.099029
MLS Listing,,Condo/Co-op,3242 S 28th St #102,Alexandria,VA,22302,340000,3,2,BOLLING BROOK,1280,,1961,1,266,686,Active,,,http://www.redfin.com/VA/Alexandria/3242-S-28th-St-22302/unit-102/home/11868915,BRIGHT MLS,VAAX249204,N,Y,38.8389007,-77.1083137
MLS Listing,,Condo/Co-op,7004 Ellingham Cir #45,Alexandria,VA,22315,335000,2,2,ETON SQUARE CONDO,1053,,1991,1,318,530,Active,,,http://www.redfin.com/VA/Alexandria/7004-Ellingham-Cir-22315/unit-45/home/9784259,BRIGHT MLS,VAFX1144708,N,Y,38.7653859,-77.1399942
MLS Listing,,Townhouse,326 Cloudes Mill Dr,Alexandria,VA,22304,560000,2,3.5,MILL STREAM,1985,,1986,1,282,285,Active,,,http://www.redfin.com/VA/Alexandria/326-Cloude-s-Mill-Dr-22304/home/11869100,BRIGHT MLS,VAAX249182,N,Y,38.816021,-77.122902
MLS Listing,,Townhouse,5927 High Meadow Rd,Alexandria,VA,22310,485000,3,3.5,RUNNYMEADE SEC 2B,1512,1400,1984,1,321,72,Active,,,http://www.redfin.com/VA/Alexandria/5927-High-Meadow-Rd-22310/home/9753991,BRIGHT MLS,VAFX1145310,N,Y,38.789775,-77.142698
MLS Listing,,Single Family Residential,7042 Quander Rd,Alexandria,VA,22307,740000,3,2,BUCKNELL MANOR,2062,21001,1954,1,359,,Active,,,http://www.redfin.com/VA/Alexandria/7042-Quander-Rd-22307/home/9793328,BRIGHT MLS,VAFX1145118,N,Y,38.7641352,-77.0604264
MLS Listing,,Condo/Co-op,309 Holland Ln #215,Alexandria,VA,22314,700000,2,2,THE ROYALTON,1461,,2006,1,479,754,Active,,,http://www.redfin.com/VA/Alexandria/309-Holland-Ln-22314/unit-215/home/11880089,BRIGHT MLS,VAAX249078,N,Y,38.8038764,-77.0601988
MLS Listing,,Single Family Residential,5708 Glenwood Ct,Alexandria,VA,22310,690000,3,3,CLERMONT,2373,21201,1956,1,291,,Active,August-2-2020 01:00 PM,August-2-2020 03:00 PM,http://www.redfin.com/VA/Alexandria/5708-Glenwood-Ct-22310/home/9755382,BRIGHT MLS,VAFX1144672,N,Y,38.7964327,-77.1136613
MLS Listing,,Townhouse,4912 Waple Ln,Alexandria,VA,22304,840000,4,4.5,CAMERON STATION,2726,1669,1999,1,308,125,Active,,,http://www.redfin.com/VA/Alexandria/4912-Waple-Ln-22304/home/11873810,BRIGHT MLS,VAAX249044,N,Y,38.8108767,-77.1168303
MLS Listing,,Single Family Residential,6200 Hillvale Pl,Alexandria,VA,22307,1200000,4,3.5,BELLE HAVEN,3390,11000,1944,1,354,,Active,,,http://www.redfin.com/VA/Alexandria/6200-Hillvale-Pl-22307/home/9762142,BRIGHT MLS,VAFX1144628,N,Y,38.7830307,-77.0621803
MLS Listing,,Single Family Residential,8401 Conover Pl,Alexandria,VA,22308,775000,4,3,COLLINGWOOD ESTATES,2776,15301,1961,1,279,,Active,August-2-2020 01:00 PM,August-2-2020 04:00 PM,http://www.redfin.com/VA/Alexandria/8401-Conover-Pl-22308/home/9820797,BRIGHT MLS,VAFX1144164,N,Y,38.7295056,-77.0526011
MLS Listing,,Condo/Co-op,309 Yoakum Pkwy #1212,Alexandria,VA,22304,282500,2,2,WATERGATE AT LANDMARK,1098,,1979,1,257,794,Active,,,http://www.redfin.com/VA/Alexandria/309-Yoakum-Pkwy-22304/unit-1212/home/11863529,BRIGHT MLS,VAAX248922,N,Y,38.8080458,-77.1392472
MLS Listing,,Condo/Co-op,4850 Eisenhower Ave #413,Alexandria,VA,22304,356000,2,2,EXCHANGE AT VAN DORN,1096,,2003,1,325,488,Active,,,http://www.redfin.com/VA/Alexandria/4850-Eisenhower-Ave-22304/unit-413/home/11878410,BRIGHT MLS,VAAX248908,N,Y,38.8030258,-77.1196599
MLS Listing,,Single Family Residential,6033 Sumner Rd,Alexandria,VA,22310,889000,7,5,SUMNER WAY,5606,10508,2000,1,159,,Active,,,http://www.redfin.com/VA/Alexandria/6033-Sumner-Rd-22310/home/9831388,BRIGHT MLS,VAFX1124246,N,Y,38.7855197,-77.1268239
MLS Listing,,Condo/Co-op,279 S Pickett St #102,Alexandria,VA,22304,279000,1,1,HILLWOOD,741,,1995,1,377,216,Active,,,http://www.redfin.com/VA/Alexandria/279-S-Pickett-St-22304/unit-102/home/11870512,BRIGHT MLS,VAAX249202,N,Y,38.8088518,-77.1248894
MLS Listing,,Townhouse,4730 Earl Flanagan Way,Alexandria,VA,22309,651220,3,3.5,BLEVINS ADDITION TO SKYV,2381,1728,2020,1,274,95,Active,,,http://www.redfin.com/VA/Alexandria/4730-Earl-Flanagan-WAY-22309/home/172281144,BRIGHT MLS,VAFX1145234,N,Y,38.72748,-77.11472
MLS Listing,,Condo/Co-op,6607 Potomac Ave Unit A2,Alexandria,VA,22307,283500,2,1,BELLE VIEW CONDO,768,,1950,1,369,363,Active,,,http://www.redfin.com/VA/Alexandria/6607-Potomac-Ave-22307/unit-A2/home/9794602,BRIGHT MLS,VAFX1145220,N,Y,38.7742893,-77.0568479
